"b1_9"     "a1"     "c1"     "b2_9"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-6.13251     12.7892     1.65722     -1.87186     127.249     1.72434     8.1323     100.857     1.67655     109.438     0.00133884     -2118.55     -3.19861     -1.82283     8.1323     0     3     0
-6.33034     14.9581     1.68215     -2.0116     127.55     1.72047     8.04032     87.3392     1.67655     105.674     0.000473828     -2118.47     -3.7968     -1.45539     8.04032     0     3     0
-6.63173     14.4317     1.68539     -2.04413     128.833     1.72047     8.06333     53.6304     1.67131     101.531     0.00386839     -2124.05     -3.72135     -1.50567     8.06333     0     3     0
-6.7141     15.6118     1.65019     -1.95183     127.911     1.72393     8.49555     109.131     1.65842     88.4388     0.00386839     -2118.21     -3.25592     -1.55553     8.49555     0     3     0
-7.52375     15.8225     1.6459     -1.74225     127.265     1.73293     8.60722     70.6528     1.65842     101.065     0.00204132     -2116.64     -4.18422     -1.17449     8.60722     0     3     0
-8.79312     16.5828     1.67167     -1.77983     125.22     1.73326     8.22695     88.4445     1.67807     89.06     0.0039152     -2125.09     -3.78633     -1.4646     8.22695     0     3     0
-4.72482     16.7413     1.67273     -1.84596     125.148     1.73521     8.83241     85.9421     1.67807     86.0708     0.00441953     -2113.16     -4.10652     -1.23225     8.83241     0     3     0
-5.8858     17.7288     1.67648     -1.89985     126.085     1.73355     8.37115     85.9421     1.66614     85.7164     0.00569703     -2118.38     -3.77002     -1.39741     8.37115     0     3     0
-5.25589     19.5478     1.62712     -1.87417     126.085     1.73381     8.79121     90.2227     1.66562     93.36     0.00133792     -2113.73     -4.16581     -1.0432     8.79121     0     3     0
-6.6432     18.9377     1.62712     -1.87417     126.128     1.7354     8.52521     100.976     1.67207     90.9988     0.00108824     -2114.83     -3.87658     -1.18971     8.52521     0     3     0
-5.43017     13.2846     1.63269     -1.81651     127.135     1.7335     8.27772     67.5591     1.63863     96.1305     0.00345149     -2115.49     -3.5819     -1.50841     8.27772     0     3     0
-7.14029     13.0378     1.65587     -1.81651     128.094     1.73051     8.32632     31.2853     1.66796     106.592     0.00119612     -2121.47     -3.63706     -1.58746     8.32632     0     3     0
-8.27926     16.3441     1.66783     -1.92115     128.062     1.7279     8.52702     74.5671     1.66262     109.8     0.00192274     -2121.79     -3.98819     -1.20567     8.52702     0     3     0
-6.85143     13.8375     1.68059     -1.85239     127.472     1.7279     8.80585     63.02     1.6499     89.7237     0.000958148     -2116     -3.80137     -1.28241     8.80585     0     3     0
-6.27171     14.9326     1.63145     -1.91396     127.46     1.73011     8.78388     123.266     1.68719     82.1772     0.00667217     -2128.83     -3.80137     -1.26988     8.78388     0     3     0
-6.48923     12.9756     1.66864     -1.75971     128.373     1.73342     7.77409     51.339     1.66483     91.9974     0.00667217     -2122.32     -3.11341     -1.78433     7.77409     0     3     0
-4.78426     11.0521     1.66864     -1.84093     128.716     1.72777     8.32584     68.1575     1.68073     81.9859     0.00572887     -2116.82     -3.86583     -1.53044     8.32584     0     3     0
-5.50758     12.4318     1.67117     -1.80964     129.015     1.72619     8.22762     126.606     1.64193     95.6572     0.00695049     -2119.19     -3.84147     -1.57225     8.22762     0     3     0
-5.93262     14.6127     1.67117     -1.80618     128.545     1.72635     8.33693     55.9211     1.63887     103.176     0.000225707     -2116.85     -4.18315     -1.33524     8.33693     0     3     0
-5.4511     12.5094     1.67694     -1.95212     129.61     1.72157     8.26869     58.3471     1.66651     99.5532     0.00257426     -2118.21     -3.73262     -1.54923     8.26869     0     3     0
-3.62976     9.90169     1.64105     -1.8333     130.642     1.71916     8.35983     50.8898     1.6597     90.9983     0.000866302     -2118.43     -3.75763     -1.57386     8.35983     0     3     0
-4.62868     11.6154     1.67386     -1.8333     130.811     1.72409     8.66565     74.6638     1.68292     84.9942     0.00318313     -2113.8     -3.83415     -1.50542     8.66565     0     3     0
-4.67594     14.631     1.64243     -1.8144     130.089     1.72457     7.96671     61.0329     1.69081     98.9744     0.000969308     -2115.02     -3.45279     -1.45044     7.96671     0     3     0
-5.7801     12.9257     1.66342     -1.77834     130.113     1.72687     8.03693     65.5485     1.69081     94.3671     0.000969308     -2117.63     -3.69217     -1.45808     8.03693     0     3     0
-5.60061     16.9152     1.66342     -1.77044     128.167     1.72908     8.41567     40.8007     1.66768     109.021     0.000969308     -2115.71     -3.73308     -1.38232     8.41567     0     3     0
-8.31297     17.0038     1.66342     -1.8321     127.231     1.72735     8.36633     68.5591     1.66768     105.058     0.000969308     -2122.97     -4.36611     -1.11187     8.36633     0     3     0
-6.73466     14.303     1.64443     -1.84018     127.425     1.72649     8.02932     68.5591     1.67553     113.423     0.00040135     -2115.11     -3.73279     -1.46262     8.02932     0     3     0
-6.98672     16.1525     1.67893     -1.92144     127.839     1.72649     8.63633     128.775     1.67315     89.5065     0.00179282     -2120.38     -4.31384     -1.04955     8.63633     0     3     0
-7.55596     14.0234     1.66011     -1.8363     127.679     1.72218     7.90758     81.1222     1.68968     108.503     0.00104449     -2118.69     -3.96945     -1.32232     7.90758     0     3     0
-5.10152     17.3815     1.66011     -1.89628     126.83     1.72753     8.32929     101.005     1.67082     95.0282     0.00438121     -2114.62     -3.5044     -1.51057     8.32929     0     3     0
-5.08954     12.2761     1.67387     -1.86537     127.207     1.72132     8.31675     63.1114     1.67764     91.8186     0.00332052     -2125.47     -3.90232     -1.45734     8.31675     0     3     0
-5.63995     11.6193     1.69434     -1.96771     127.107     1.72497     8.19332     71.3147     1.63889     108.159     0.00398173     -2122.29     -4.01169     -1.5078     8.19332     0     3     0
-6.12229     9.80778     1.67792     -1.95718     125.932     1.73066     8.46424     96.9443     1.70001     103.512     0.0033441     -2123.45     -3.80725     -1.74445     8.46424     0     3     0
-5.24699     12.104     1.67792     -1.9281     125.932     1.73407     8.56981     80.9497     1.66108     99.3495     0.00432755     -2120.75     -4.14518     -1.33331     8.56981     0     3     0
-6.85907     12.1516     1.66596     -1.80922     127.187     1.73407     8.37446     63.8555     1.66502     100.543     0.00342047     -2115.7     -3.2423     -1.67245     8.37446     0     3     0
